Номер	Слово	Номер урока	Перевод 1	Перевод 2
4	수		Способ	Метод
10	우리		Мы	Наш
24	이		Человек	
27	그러나		Однако, но все еще	
30	씨		Мистер (формальное дополнение к фамилии)	
33	일		День	
38	더		Больше	
43	그리고		И, поэтому	
45	그런		Такой	
57	어떤		Какой, какого вида	
66	명		Е.И. для людей	
71	다시		Опять	
72	다른		Другой	
73	이런		Такой же, как этот	
75	개		Е.И. для штук	
75	개		Е.И. для предметов	
77	 다		Все	
78	좀		Немножко	
82	함께		Вместе, с	
85	많이		Много	
100	누구		Кто	
102	여러		Много видов, разные	
112	가장		Большинство	
118	그래서		Поэтому, в связи с этим	
126	그런데		Но, однако	
138	어디		Где?	
141	왜		Почему?	
171	특히		Особенно	
174	지금		Сейчас	
180	아직		Все еще	
182	같이		Вместе, как	
186	못		Не может	
198	무슨		Что, какого вида	
202	너무		Очень	
209	이미		Уже	
222	및		Так же как	
257	얼마나		Сколько	
271	그냥		Потому что, в этих условиях	
298	끝		Конец	
305	그대로		Так же	
313	정말		На самом деле	
331	이제		Сейчас	
359	얼마		Сколько	
406	그럼		Если будет так	
412	내		Внутри	
416	하지만		Но, хотя	
424	갑자기		Внезапно	
443	전혀		Полностью, целиком	
509	빨리		Быстро	
550	제대로		Так, как нужно	
587	열심히		Восторженно, с усердием	
618	그래도		Также	
629	달리		Другой, по-другому	
662	조금		Немножко	
696	번째		Сколько раз	
705	그러니까		Поэтому, в связи с этим	
713	완전히		Полностью, идеально	
741	여전히		Как было раньше, такой же	
767	가끔		Иногда	
770	실제로		Реально, в реальности	
828	장		Е.И для бумаги, плоских вещей	
893	흔히		Обычно, в-основном, часто	
993	그렇지만		Хотя, однако	
999	그러므로		Следовательно	
	안녕	lessons/korean003.html	Привет (неформально)	
	안녕하세요	lessons/korean003.html	Здравствуйте	
	안녕히 계세요	lessons/korean003.html	До свидания [уходя]	
	안녕히 가세요	lessons/korean003.html	До свидания [оставаясь]	
	감사합니다	lessons/korean003.html	Спасибо	
	고마워	lessons/korean003.html	Спасибо	
	죄송합니다	lessons/korean003.html	Извините	
	미안해	lessons/korean003.html	Извини	
	고마워요	lessons/korean003.html	Спасибо	
	미안해요	lessons/korean003.html	Извините	
	뭐예요	lessons/korean004.html	Что это?	
	누구예요	lessons/korean004.html	Кто это?	
	이	lessons/korean005.html	Это, этот	
	저	lessons/korean005.html	Вон то, вон тот	
	그	lessons/korean005.html	То, тот	
	네	lessons/korean007.html	Да	
	예	lessons/korean007.html	Да	
	응	lessons/korean007.html	Да	
	아니요	lessons/korean007.html	Нет	
	아니	lessons/korean007.html	Нет		
	내가	lessons/korean009.html	Я (в именительном падеже)	
	네가	lessons/korean009.html	Ты (в именительном падеже)	
	니가	lessons/korean009.html	Ты (в именительном падеже, сленг)	
	난	lessons/korean009.html	Я (в именительном падеже)	
	넌	lessons/korean009.html	Ты (в именительном падеже)	
	날	lessons/korean013.html	Я (в винительном падеже)	
	널	lessons/korean013.html	Ты (в винительном падеже)	
