Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3
9	사람		Человек		
20	년		Год		
22	말		Слова	Речь	
23	일		Работа		
33	일		Один день		
34	사회		Культура, социум		
41	집		Дом		
44	문제		Вопрос	Проблема	
51	속		Внутренность		
53	데		Место	Точка	Экземпляр
54	앞		Спереди	Перед	
55	경우		Случай	Образец	
56	중		Центр	Середина	
58	잘		Хорошо		
61	자신		Сам (сама)		
62	문화		Культура		
63	원		Вона (валюта)		
64	생각		Мысль		
70	소리		Звук, шум		
74	여자		Женщина		
75	개		Собака		
76	정도		Класс, степень		
83	아이		Ребенок		
86	시간		Время		
88	인간		Персона	Человек	
89	사실		Правда	Факт	
92	어머니		Мама		
93	눈		Глаз	Снег	
95	점		Магазин		
97	시대		Возраст	Период	
98	다음		Следующее		
101	곳		Место		
103	안		Внутри		
105	세계		Мир		
107	위		Верхняя часть	Сверху	
108	운동		Движение		
109	퍼센트		Процент		
110	학교		Школа		
111	자기		Сам (сама)		
113	대통령		Президент		
114	가지		Один из видов		
116	바로		Правильно	Прямо	
117	어느		Некоторый	Определенный	Который
120	정부		Правительство		
121	모든		Каждый		
122	번		Номер	Сколько раз	
124	돈		Деньги		
125	국가		Государство, нация		
127	날		День		
128	여기		Хобби		
129	모두		Все		
130	여성		Женский		
131	친구		Друг		
132	마음		Сердце		
133	후		После		
135	관계		Связь		
136	아버지		Отец		
137	남자		Парень, мужчина		
139	몸		Тело, туловище		
140	얼굴		Лицо		
143	지역		Площадь	Регион	
145	모습		Тело, форма		
146	물		Вода		
153	이번		В этот раз		
154	길		Дорога		
155	생활		Стиль жизни		
157	뿐		Единственный	Одинокий	
158	사이		Расстояние между 2 точками	Отношение между 2 людьми	
159	방법		Способ		
163	처음		Первый		
164	손		Рука		
165	몇		Мало		
166	그때		Тогда, в этот момент		
167	과정		Процесс, курс		
168	삶		Жизнь		
172	시		Время		
173	이상		Более чем	Выше	
176	이야기		Разговор	Обсуждение	
177	교육		Образование		
179	경제		Экономия		
183	선생님		Учитель		
184	예술		Искусство		
187	역사		История		
189	결과		Результат		
190	내용		Содержание	Контент	
191	물론		Конечно	Ясно	
192	책		Книга		
194	당신		Ты (формально)		
195	시장		Рынок	Ярмарка	
201	힘		Сила, мощь		
203	나라		Страна		
205	의미		Обозначение	Смысл	
206	자리		Сидячее место	Позиция	
210	쪽		Направление	Путь	
211	정치		Политика		
212	국민		Народ, нация		
213	생명		Жизнь		
214	얘기		История		
215	학생		Студент		
216	연구		Исследование		
217	엄마		Мама		
218	이름		Имя		
219	하나		Один		
221	사건		Событие, случай	Инцидент	
225	이유		Причина		
227	글		Слова	Стихи	
230	남편		Супруг		
231	밖		Снаружи		
232	세상		Мир	Социум	
235	대학		Университет		
236	작품		Произведение искусства		
237	상황		Положение дел, ситуация		
238	가운데		В середине		
240	즉		Именно		
241	상태		Состояние		
242	이후		Начиная с, после		
243	당시		Это время		
244	문학		Литература		
245	더욱		Больше и больше		
246	아주		Довольно, порядочно, сильно		
247	지방		Местность	Район	
248	밤		Ночь		
250	최근		Недавно		
251	채		Как есть	Без изменений	
252	현실		Актуальность	Реальность	
253	환경		Окружение, окружающая среда		
254	컴퓨터		Компьютер		
255	먼저		Первый		
258	자체		Свое тело		
260	머리		Голова	Волосы	
263	부분		Часть	Порция	
264	기업		Компания, бизнес		
265	변화		Перемена	Трансформация	
266	아들		Сын	Ребенок	
268	선거		Выборы		
270	분		Минута		
274	거의		Почти		
275	곧		Скоро		
276	중심		Корень, ядро	Фокус	Сердце
277	활동		Активность		
278	오늘		Сегодня		
279	서로		Взаимно		
280	관심		Забота	Интерес	
281	역시		Как ожидалось	Так же	
283	애		Ребенок	Человек (очень фигуральное выражение)	
284	광고		Реклама		
286	방		Комната		
287	정신		Разум	Дух	
290	아침		Утро		
292	현상		Текущая ситуация	Состояние	
293	기술		Техника, искусство, способность		
294	전체		Целый	Полный	
295	그래		Да, так и есть, точно		
299	민족		Раса, национальность, народ		
300	간		Расстояние		
301	조사		Исследование	Запрос	
302	듯		Похожесть на что-то		
303	입		Рот		
306	영화		Кино		
307	필요		Нужда, необходимость, потреобность		
308	줄		Способ, путь		
309	하늘		Небо		
310	년대		Год		
311	과학		Наука		
312	자연		Природа		
314	구조		Структура, конструкция		
315	결국		В конце концов		
316	밥		Рис	Еда	
318	오히려		Скорее, предпочительнее		
319	프로그램		Программа		
322	남		Другие	Другие люди	
323	하루		День (сутки)		
324	그림		Картинка		
325	적		Время, событие, когда		
326	터		Чей-то статус		
329	혼자		Одиноко		
332	교수		Обучение, инструкция		
333	술		Алкоголь		
334	사랑		Любовь		
335	전화		Телефон		
338	아빠		Папа		
341	한번		Однажды, один раз		
342	커피		Кофе		
343	가슴		Грудь, грудная клетка		
347	맛		Вкус		
348	대부분		Наибольший		
349	산업		Индустрия		
350	매우		Очень		
352	음식		Еда, питания		
353	표정		Выражение лица	Взгляд	
354	꼭		Точно		
355	일부		Часть	Порция	
356	요즘		С недавних пор	В эти дни	
357	계획		План	Проект	
358	느낌		Прикосновение	Чувство	
360	고개		Затылок		
361	성격		Характер	Природа	
362	계속		Непрерывно		
363	세기		Век		
365	아내		Жена		
366	가족		Семья		
367	현재		Текущее время	Сейчас	
369	발전		Развитие		
370	차		Транспорт	Машина, Вагон	Чай
373	관련		Связь, ссылка		
374	형태		Форма		
375	각		Каждый		
376	도시		Город		
377	작업		Работа		
378	분위기		Атмосфера, окружение		
380	나이		Возраст, эпоха		
381	우선		Прежде всего	В первую очередь	
385	바		Штука		
386	정보		Информация, познания		
390	만큼		С этого количества		
392	시		Поэзия	Строки стихов	
393	역할		Часть	Роль	
394	옆		Рядом		
395	행동		Действие	Поведение	
397	국내		Внутри страны, в сельской области		
399	기관		Механизм, двигатель		
400	입장		Позиция	Ситуация	
402	예		Пример		
403	아래		Дно	Нижняя часть	
404	방식		Форма	Метод	Процесс
405	영향		Влияние	Последствия	
411	배		Лодка	Плавание на лодке	
413	모양		Форма		
414	산		Гора		
415	새		Новый		
417	조건		Условие, ситуация		
418	문		Дверь		
419	꽃		Цветок		
420	단계		Шаг	Фаза	
422	그동안		В это время		
423	교사		Инструктор		
427	바람		Ветер		
429	마을		Город		
431	대표		Представитель		
432	가능성		Возможность		
433	방향		Направление		
434	대회		Большой митинг		
435	목소리		Голос		
436	노래		Песня		
437	바다		Море		
439	공부		Учеба, обучение		
441	의원		Член организации		
442	노력		Усилие		
444	언니		Старшая систер		
445	단체		Организация	Группа людей	
446	분		Часть		
449	능력		Способность		
451	자식		Чей-то сын		
452	불		Огонь		
453	주민		Жители, проживающие		
455	자료		Материалы	Данные	
456	존재		Существование		
457	학년		Учебный год		
458	신문		Газета		
461	제품		Продукты, товары		
462	분야		Поле, область		
463	선생		Учитель (неформально)		
464	사업		Бизнес		
465	행위		Акт	Поведение	
466	수준		Уровень		
467	지난해		Предыдущий год		
468	표현		Словестное выражение	Представление	Объявление
469	기분		Настроение		
470	대		Эра	Период	
472	옷		Одежда		
473	기능		Функция, функционал		
474	순간		Момент, секунда		
475	전쟁		Война		
476	전		До того		
477	꿈		Мечта		
478	할머니		Бабушка		
479	회의		Митинг, конференция		
