Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3	
2	하다		Делать			
3	있다	lessons/korean012.html	Существовать, быть			
7	없다	lessons/korean012.html	Не существовать, не быть			
8	않다		Не делать			
12	아니다		Не быть			
13	보다		Пробовать	Смотреть		
16	같다		Такой же	Похожий		
17	주다	lessons/korean016.html	Давать	Делать что-то для другого		
18	대하다		Встречать	Противостоять		
19	가다		Идти			
25	말하다		Говорить			
26	위하다		Посвящать (что-то чему-то)	Вследствие (чего-то)		
28	오다		Приходить			
29	알다		Знать			
31	그렇다		Быть правильным			
32	크다		Большой			
35	많다		Много			
37	좋다		Хороший			
39	받다		Получать			
42	나오다		Уходить			
46	살다		Жить			
48	못하다		Не делать (по причине невозможности)			
49	생각하다		Думать			
50	모르다		Не знать			
52	만들다		Создавать, делать			
60	먹다		Есть			
65	어떻다		Как, как ты думаешь			
67	통하다		Бежать	Руководить	Течь	Проходить сквозь
68	그러다		И поэтому			
79	싶다		Хотеть	Надеятся		
80	보이다		Увидеть	Поймать взгляд	Показать	
81	가지다		Иметь	Хранить, удерживать		
84	지나다		Пройти, пропустить, продолжить			
90	나다		Родиться			
91	이렇다		Так, таким образом			
99	이러하다		Быть таким образом			
106	버리다		Дополнение к глаголу - предыдущий глагол закончился, возможно конец печален			
115	시작하다		Начать			
134	놓다		Положить	Поместить		
142	나타나다		Выйти, показаться			
144	다르다		Другой			
147	만나다		Встречать			
148	내다		Производить			
150	쓰다		Писать	Принимать лекарства		
160	새롭다		Новый			
161	내다		Видеть наскозь	Делать что-то насквозь		
162	앉다		Сидеть			
169	갖다		Удерживать			
170	찾다		Искать			
175	나가다		Уходить			
178	사다		Покупать			
181	잡다		Захватывать	Ловить		
185	서다		Стоять			
188	읽다		Читать			
193	일어나다		Восходить	Вставать		
196	넣다		Положить, вставить			
197	중요하다		Важный, весомый			
199	느끼다		Чувствовать			
200	어렵다		Тяжелый, сложный			
204	부르다		Звонить			
207	밝히다		Освещать			
208	죽다		Умереть	Закончиться		
220	내리다		Спускаться			
223	쉽다		Легкий			
224	짓다		Создававать	Группировать		
226	필요하다		Нуждаться			
228	생기다		Возникать	Случаться		
229	사용하다		Использовать			
233	작다		Маленький			
234	타다		Садится (на транспорт)			
239	보내다		Отправлять			
249	높다		Высокий			
256	다니다		Приходить и уходить туда-сюда			
259	열다		Открывать			
261	묻다		Спрашивать			
262	남다		Оставлять	Оставаться		
269	관하다		Относиться к, 			
272	나누다		Разделять			
273	이용하다		Использовать			
285	나다		Выходить наружу, возникать	Расти		
288	이르다		Достигать	Прибывать		
289	이루다		Завершать	Заканчивать		
291	웃다		Смеяться	Улыбаться		
296	얻다		Получать			
297	아름답다		Красивый			
317	입다		Носить			
321	이루어지다		Осуществляться	Быть достигнутым		
327	마시다		Пить			
328	치다		Нападать	Атаковать		
330	나가다		Продвигаться	Продолжать	Идти вперед	
336	끝나다		Завершать	Заканчивать		
337	맞다		Быть правым	Быть правильным	Подходить, соответствовать	
339	걸리다		Зависнуть, быть приостановленным			
340	지키다		Защищать	Поддерживать, обслуживать		
344	길다		Быть длинным			
345	바라보다		Наблюдать	Смотреть на что-то	Надеться на что-то	
346	알아보다		Расследовать	Проверять	Искать	
351	오르다		Идти вверх	Подниматься	Восходить	
364	세우다		Вставать			
371	놀다		Играть	Тешиться		
372	향하다		Встречать (лицом к лицу)	Смотреть на что-то		
379	그러하다		Быть таким, быть правым			
382	믿다		Верить			
383	바꾸다		Менять	Обменивать		
384	낳다		Рожать			
387	열리다		Открывать	Быть открытым		
388	좋아하다		Любить кого-то, что-то (в смысле нравится)			
389	그리다		Рисовать			
391	배우다		Учить			
398	비하다		Сравнивать с			
401	만하다		Стоить, иметь стоимость			
407	나서다		Выходить наружу			
408	흐르다		Течь			
410	깊다		Глубокий			
421	올리다		Поднимать			
425	넘다		Пересекать			
426	지니다		Нести			
428	잘하다		Делать хорошо			
430	어리다		Очень молодой			
438	힘들다		Тяжелый, сложный			
440	움직이다		Двигать			
447	알려지다		Стать известным			
448	가능하다		Быть возможным			
450	주장하다		Утверждать, поддерживать			
454	모으다		Собирать, собираться			
459	가지다		Иметь, удерживать			
460	이해하다		Понимать			
471	젊다		Молодой			
481	이야기하다		Разговаривать			
483	자다		Спать			
486	걷다		Идти			
494	살펴보다		Внимательно смотреть			
497	풀다		Развызываться, расслабляться	Растворяться		
507	끌다		Тянуть			
510	시작되다		Начинать			
511	말다		Прекращать			
512	설명하다		Объяснять			
518	바라다		Желать	Надеяться на		
519	강하다		Сильный, мощный			
523	나타내다		Показывать	Демонстрировать		
524	아프다		Болеть			
525	적다		Маленький	Быть в небольшом количестве		
528	놀라다		Удивленный			
529	다양하다		Разный, различный			
530	울다		Плакать, рыдать			
533	지내다		Пропускать, тратить (время)			
540	담다		Положить (в бутылку)			
541	모이다		Встречать, собирать			
544	빠르다		Быстрый			
552	던지다		Кидать			
557	벌이다		Планировать начать работу, проект	Играть в настольную игру		
560	강조하다		Поместить упор на, поместить внимание на			
562	맡다		Предпринимать, брать ответственность			
567	넓다		Широкий			
575	가깝다		Закрывать			
584	팔다		Продавать			
588	일하다		Работать	Трудиться		
594	요구하다		Требовать, запрашивать			
595	올라가다		Идти вверх	Возрастать		
601	당하다		Сталкиваться	Совпадать		
602	삼다		Создавать с помощью	Вращаться		
606	일으키다		Возбуждать, запускать, начинать			
610	태어나다		Рождаться			
613	즐기다		Наслаждаться			
616	변하다		Менять			
620	맞추다		Подбирать, адаптировать			
623	재미있다		Интересный, веселый			
624	가르치다		Учить			
626	막다		Останавливать	Препятствовать		
630	버리다		Выкидывать			
631	붙이다		Скреплять, прикреплять			
636	마치다		Заканчивать, завершать			
641	걸다		Зависнуть, приостановить			
642	빠지다		Утекать, проваливаться			
643	멀다		Далекий, дальний			
648	대다		Положить, приложить			
654	표현하다		Выразить, представить	Произнести вслух		
655	인하다		Быть вызванным (причиной)			
656	이상하다		Странный, чудесный			
658	붙다		Прилипнуть	Присоединится		
660	얘기하다		Рассказать (историю)			
661	잇다		Соединить	Связаться		
670	발생하다		Произойти от			
673	어쩌다		Случайный			
677	옮기다		Двигаться, переводиться			
680	잃다		Потерять			
683	바뀌다		Измениться			
684	비슷하다		Походить на			
685	심하다		Быть предельным, интенсивным			
687	사랑하다		Любить			
690	자라다		Расти			
694	실시하다		Исполнить, сделать действительным			
698	싫다		Не любить	Ненавидеть		
704	갖추다		Подготовиться			
706	받아들이다		Принять			
710	꺼내다		Уйти			
715	전하다		Передать			
716	존재하다		Существовать, быть			
718	맞다		Правильный			
721	정하다		Определять			
723	유지하다		Сохранять	Поддерживать		
725	공부하다		Учиться			
727	늘어나다		Расти в длину			
728	닦다		Полировать, счищать			
731	괜찮다		Быть в порядке			
736	피하다		Избегать			
737	거치다		Проходить насквозь, пропускать			
738	나아가다		Продвигаться, идти вперед			
743	발견하다		Исследовать			
749	마련하다		Планировать, договариваться			
751	발표하다		Объявлять			
753	걸치다		Положить что-то через что-то	Измерять дистанцию от одного до другого		
754	겪다		Страдать, испытывать			
759	사라지다		Исчезать			
760	어떠하다		Быть каким-то			
771	짧다		Короткий			
772	고맙다		Благодарить			
775	보다		Превосходить	Быть большим, чем		
776	비롯하다		Начинать			
778	달리다		Бегать	Заставлять делать быстро		
779	바쁘다		Занятый			
781	인정하다		Подтвердить			
784	나쁘다		Плохой			
785	불구하다		Деформация, порок			
786	시키다		Создавать			
792	기르다		Учить, тренировать, развивать			
794	조사하다		Проверять, расследовать			
795	커다랗다		Очень большой			
801	내려오다		Спускаться			
803	줄이다		Уменьшаться			
805	달라지다		Изменять, варировать			
806	비다		Пустой, свободный			
809	원하다		Хотеть			
811	확인하다		Подтвердить			
820	살아가다		Ладить (с чем-то)			
821	펴다		Распространять, раскрывать			
827	자연스럽다		Естественный			
830	안다		Удерживать	Обнимать		
832	잊다		Забывать			
833	제시하다		Дарить, презентовать			
835	불과하다		Быть не более чем			
837	엄청나다		Удивительный	Абсурдный		
840	파악하다		Понять	Воспринять		
843	노력하다		Стараться, бороться			
845	씻다		Чистить, мыть			
846	늦다		Опоздать, опоздавший			
854	분명하다		Очевидный, понятный			
857	지나가다		Проходить			
861	훌륭하다		Отличный			
865	이어지다		Присоединенный, связанный			
869	낮다		Низкий			
874	키우다		Поднимать	Воспитывать		
875	눕다		Лежать			
876	발전하다		Развивать	Выращивать		
881	어울리다		Становиться			
883	쉬다		Расслабляться, отдыхать			
884	알리다		Информировать, сообщить что-то кому-то			
885	차다		Полный, наполненный			
888	빼다		Доставать, извлекать	extract		
891	즐겁다		Быть приятным			
896	싸우다		Сражаться			
897	예쁘다		Красивый, симпатичный			
899	느껴지다		Чувствовать			
902	정확하다		Точный			
905	맛있다		Вкусный			
908	찾아오다		Посетить кого-то, встретить кого-то			
916	결정하다		Выбирать, решать			
921	없어지다		Терять			
923	내려가다		Идти вниз			
924	미치다		Достигать			
931	무섭다		Страшный, ужастный			
933	참다		Терпеть, выносить			
936	남기다		Забывать, оставлять позади			
939	가져오다		Приносить			
941	부드럽다		Мягкий			
942	여기다		Думать			
946	내놓다		Доставать, извлекать			
947	만들어지다		Создавать, делать			
949	심각하다		Серьезный, весомый			
951	계속되다		Продолжать			
953	맑다		Чистый, непорочный			
963	벌다		Зарабатывать (деньги)			
964	살리다		Возродить, выпускать	Спасать, сохранять	Возвращать к жизни	
972	대답하다		Отвечать			
974	썰다		Рубить			
977	터지다		Сломанный	Порванный		
980	벗다		Убирать, снимать			
983	준비하다		Подготовиться			
986	이기다		Побеждать			
987	찾아보다		Пойти встретить кого-то			
988	취하다		Принять, взять			
989	다루다		Иметь дело (с кем-то, с чем-то)			
997	구하다		Покупать	Искать		
1000	포함하다		Включать в себя, содержать			
5704	기다리다		Ждать			
5705	듣다		Слушать			
5706	잠자다		Спать			
5707	춤추다		Танцевать			
5708	때리다		Ударить			
5709	재미없다		Неинтересный, скучный			
5710	맛없다		Невкусный			
5711	멋있다		Крутой			
5712	멋없다		Некрутой			
5713	도착하다		Прибывать			
5714	노래하다		Петь			
5715	청소하다		Убираться			
5716	미안하다		Извиняться			
5717	감사하다		Благодарить (вежливая форма)			
5718	보고싶다	lessons/korean020.html	Хотеть увидеть	Скучать		
1002	결혼하다		Жениться			
1004	바르다		Быть правым			
1008	깨닫다		Осознать			
1016	해결하다		Урегулировать			
1018	계속하다		Продолжать			
1019	그치다		Прекращать			
1022	높이다		Повышать			
1029	계시다		Располагаться			
1031	자르다		Разрывать			
1032	데리다		Сопровождаться			
1037	옳다		Быть правым			
1050	찍다		Рубить			
1051	가볍다		Светить			
1068	쳐다보다		Искать			
1073	정리하다		Разогнуть, изгибать			
1076	죽이다		Убить			
1077	단순하다		Быть простодушным			
1080	빠지다		Привыкнуть			
1084	참여하다		Принять участие			
1086	푸르다		Быть зеленым, быть синим			
1093	흔들다		Качать			
1096	뽑다		Вытаскивать			
1097	피우다		Собирать, создавать			
1100	부족하다		Быть в недостатке, быть в дефиците			
1102	진행되다		Выполняться, иметь прогресс			
1112	기록하다		Записывать			
1113	다가오다		Приближаться			
1114	불다		Взрываться			
1116	이끌다		Способствовать			
1120	개발하다		Развивать			
1126	자유롭다		Быть свободным			
1130	기울이다		Склонить			
1135	관련되다		Быть связано с			
1139	더불다		Делать вместе			
1142	건강하다		Быть здоровым			
1148	기대하다		Ожидать			
1150	도착하다		Приехать			
1153	흘리다		Пролить			
1156	당연하다		Быть естественным			
1158	빌리다		Брать в аренду			
1162	놓이다		Стать мирным			
1165	밝다		Быть многообещающим			
1169	곱다		Быть красивым			
1172	생각되다		Придти к выводу			
1174	선택하다		Выбирать			
1175	심다		Сажать, выращивать			
1176	적다		Записывать			
1178	간단하다		Быть простым			
1183	견디다		Терпеть			
1185	막히다		Быть остановленным			
1188	복잡하다		Быть сложным			
1189	뿌리다		Разбрасывать, разбрызгивать			
1194	극복하다		Преодолеть			
1198	쓰이다		Быть использованным			
1199	일정하다		Быть постоянным			
1200	다지다		Быть уверенным, быть убежденным			
1202	알맞다		быть уместным, подходить			
1204	희다		Белый, справедливый			
1205	가리키다		Указать			
1206	모시다		Посетить			
1208	수많다		Многие и многие			
1209	치르다		Погасить, оплатить счет			
1216	말씀하다		Говорить			
1218	불리다		Для назвать			
1221	차리다		Приготовить			
1228	의미하다		Значить, означать			
1231	구성되다		Быть организованным			
1232	독특하다		Уникальный, своеобразный, специфический			
1234	소개하다		Внести, презентовать			
1235	잘되다		Закончить хорошо			
1236	추진하다		Двигать вперед			
1243	쌓이다		Быть сваленным			
1245	쥐다		Держать, захватить			
1248	끓이다		Варить, подогревать			
1250	멈추다		Остановиться			
1251	사용되다		Быть использованным			
1256	찾아가다		Пойти куда-то, чтобы встретить кого-то			
1259	늘다		Повышение, увеличение			
1262	계시다		(Почтительно) Быть, проживать			
1264	닿다		Достичь, добраться			
1265	속하다		Принадлежать, быть связанным с			
1269	제공하다		Предложить			
1270	증가하다		Увеличить, вырасти			
1274	외치다		Кричать			
1276	편하다		Безмятежный от забот			
1279	끝내다		Заканчивать			
1286	넘기다		Проходить			
1292	젖다		Влажный			
1293	제외하다		Исключать			
1297	깨끗하다		Быть чистым			
1301	어둡다		Темный, тусклый, мрачный			
1305	관련하다		Быть связанным или соединенным			
1307	물어보다		Спросить			
1308	미안하다		Сожалеть			
1309	밀다		толкать, пихать			
1313	주어지다		Предложить, предлагать (условия)			
1314	고려하다		Уважать, ценить			
1318	올라오다		Подойти			
1319	챙기다		собирать, копить			
1320	고르다		Выбирать			
1321	바르다		Распространять, применять			
1322	벌어지다		Стать серьезным, увеличить			
1325	포기하다		Сдаваться, отказаться			
1326	형성되다		Сформировать, составить			
1327	고치다		Исправить, изменить			
1330	다하다		Завершить, закончиться			
1332	비교하다		Сравнивать			
1334	커지다		Быть больше			
1338	맡기다		Доверить что-то кому-то			
1341	싣다		Загрузить, взять (пассажиров)			
1342	쌓다		Накапливать			
1349	하얗다		Белый			
1361	잘못되다		Пойти не так			
1365	내밀다		Вытолкнуть			
1366	맞다		Быть ударенным, побитым			
1370	잡히다		"Быть пойманным; тушить пожар"			
1374	분석하다		Анализировать			
1378	울리다		Звонить, создавать эхо			
1379	작용하다		Применить, использовать			
1380	확실하다		Быть уверенным, быть убежденным			
1384	바람직하다		Быть желательным, соответствующим			
1385	연구하다		Исследовать, расследовать			
1386	착하다		Быть приятным			
1393	거두다		Собирать, коллекционировать			
1398	검다		Черный, темный			
1405	불가능하다		Невозможно			
1407	퍼지다		Распространять			
1410	누르다		Нажать (на кнопку)			
1416	유명하다		Быть известным			
1423	끊다		Отрезать, разорвать			
1424	넘어가다		Переидти, пройти			
1425	담기다		Положить еду в бутылку или для засолки			
1428	서두르다		Торопиться			
1432	충분하다		Быть достаточным			
1433	기쁘다		Быть счастливым			
1435	앞두다		Иметь дистанцию впереди			
1442	꾸미다		Украшать			
1443	늘리다		Увеличивать, размножать			
1445	발견되다		Быть обнаруженным			
1446	보호하다		Защищать, укрывать, охранять			
1450	지르다		Кричать			
1454	마르다		Пересохнуть			
1456	애쓰다		Сделать усилия, чтобы сделать что-то			
1457	올바르다		Быть честным, простым			
1459	춥다		Холодный			
1460	흔하다		Быть везде			
1461	높아지다		Стать высоким			
1462	늙다		Стареть			
1464	무겁다		Тяжелый, душный			
1470	인식하다		Узнавать, признавать			
1483	구성하다		Организовать или приготовить			
1490	특별하다		Быть особенным, экстраординарным			
1493	낫다		Превосходить			
1494	넘어서다		Проходить			
1495	볶다		Жарить			
1496	생산하다		Создавать, изготовлять			
1500	저지르다		делать, совершать, испортить			
1501	줄어들다		Сокращаться прочь			
1511	가난하다		Бедный			
1515	살아오다		Ожить			
1525	들려오다		Издавать эхо, звук			
1528	풀리다		Ослабнуть			
1529	강력하다		Быть сильным или мощным			
1536	활용하다		Использовать, практично использовать			
